area_type,availability,location,size,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,"Sanwan Township, Miaoli County",3 BHK,1540,2,2,2340
Plot  Area,Ready To Move,"Nanzhuang Township, Miaoli County",4 Bedroom,2894,2,1,6370
Super built-up  Area,Ready To Move,"Shitan Township, Miaoli County",3 BHK,1330,1,1,1248
Built-up  Area,Ready To Move,"Houlong Township, Miaoli County",2 BHK,1200,1,1,1690
Built-up  Area,Ready To Move,"Tongxiao Township, Miaoli County",3 Bedroom,1200,2,1,2340
Super built-up  Area,Ready To Move,"Yuanli Township, Miaoli County",3 BHK,2502,2,3,3588
Built-up  Area,Ready To Move,"Miaoli City, Miaoli County",2 BHK,650,1,1,442
Plot  Area,Ready To Move,"Zaoqiao Township, Miaoli County",3 Bedroom,2400,1,1,3900
Super built-up  Area,Ready To Move,"Touwu Township, Miaoli County",2 BHK,1007,1,2,1118
Super built-up  Area,Ready To Move,"Gongguan Township, Miaoli County",2 BHK,1200,1,2,1300
Super built-up  Area,Ready To Move,"Dahu Township, Miaoli County",2 BHK,966,1,2,1297.4
Built-up  Area,Ready To Move,"Tai’an Township, Miaoli Coun",3 BHK,1630,1,1,2548
Built-up  Area,Ready To Move,"Tongluo Township, Miaoli County",3 BHK,1640,2,2,5954
Built-up  Area,Ready To Move,"Sanyi Township, Miaoli County",2 BHK,782,1,2,1447.68
Super built-up  Area,19-Apr,"Xihu Township, Miaoli County",2 BHK,1260,1,2,1736.28
Super built-up  Area,Ready To Move,"Zhuolan Township, Miaoli County",3 BHK,1800,2,3,3120
Super built-up  Area,Ready To Move,"Central Dist., Taichung City",3 BHK,1413,1,2,1950
Super built-up  Area,Ready To Move,"East Dist., Taichung City",2 BHK,1116,1,1,1349.66
Super built-up  Area,Ready To Move,"South Dist., Taichung City",3 BHK,1530,1,1,1193.4
Built-up  Area,Ready To Move,"West Dist., Taichung City",4 Bedroom,3700,2,1,5850
Built-up  Area,Ready To Move,"North Dist., Taichung City",3 Bedroom,2497,2,2,3640
Super built-up  Area,Ready To Move,"Beitun Dist., Taichung City",3 BHK,1540,1,3,1664
Super built-up  Area,18-Dec,"Xitun Dist., Taichung City",3 BHK,1436,2,1,1943.5
Super built-up  Area,18-Jun,"Nantun Dist., Taichung City",2 BHK,1100,1,2,1950
Plot  Area,Ready To Move,"Taiping Dist., Taichung City",2 Bedroom,276,2,3,598
Super built-up  Area,Ready To Move,"Dali Dist., Taichung City",3 BHK,1427,2,2,3120
Super built-up  Area,Ready To Move,"Wufeng Dist., Taichung City",3 BHK,2061,2,1,5200
Super built-up  Area,18-Mar,"Wuri Dist., Taichung City",4 BHK,3067 - 8156,2,0,12402
Built-up  Area,Ready To Move,"Fengyuan Dist., Taichung City",4 BHK,2650,2,2,3900
Super built-up  Area,22-Dec,"Houli Dist., Taichung City",3 BHK,1282,1,2,1781.52
Built-up  Area,Ready To Move,"Shigang Dist., Taichung City",2 BHK,1050,1,1,884
Built-up  Area,Ready To Move,"Dongshi Dist., Taichung City",3 BHK,1600,2,2,1690
Super built-up  Area,22-Jan,"Heping Dist., Taichung City",2 BHK,945,1,1,1404
Super built-up  Area,Ready To Move,"Xinshe Dist., Taichung City",2 BHK,1500,1,1,2028
Plot  Area,Ready To Move,"Tanzi Dist., Taichung City",7 Bedroom,950,3,0,2990
Built-up  Area,Ready To Move,"Daya Dist., Taichung City",3 BHK,1870,2,3,2860
Plot  Area,Ready To Move,"Shengang Dist., Taichung City",3 Bedroom,1600,2,1,1950
Super built-up  Area,Ready To Move,"Dadu Dist., Taichung City",2 BHK,880,1,1,429
Plot  Area,Ready To Move,"Shalu Dist., Taichung City",4 Bedroom,1200,2,0,5460
Super built-up  Area,Ready To Move,"Longjing Dist., Taichung City",3 BHK,1535,2,2,2158
Built-up  Area,Ready To Move,"Wuqi Dist., Taichung City",2 BHK,950,1,1,1482
Super built-up  Area,18-Aug,"Qingshui Dist., Taichung City",2 BHK,1360,1,1,1690
Super built-up  Area,19-Mar,"Dajia Dist., Taichung City",2 BHK,1042 - 1105,1,0,1404.13
Super built-up  Area,18-May,"Waipu Dist., Taichung City",3 BHK,1280,2,1,1310.4
Super built-up  Area,19-Jan,"Tai’an Township, Miaoli Coun",3 BHK,1260,1,2,2211.3
Built-up  Area,Ready To Move,"Changhua City, Changhua County",8 Bedroom,5000,3,,6500
Super built-up  Area,19-Dec,"Fenyuan Township, Changhua County",5 BHK,3050,2,1,5538
Super built-up  Area,Ready To Move,"Huatan Township, Changhua County",3 BHK,1563.05,2,1,2730
Super built-up  Area,Ready To Move,"Xiushui Township, Changhua County",2 BHK,1000,1,1,1560
Super built-up  Area,17-Jul,"Lukang Township, Changhua County",2 BHK,1167,1,1,1137.76
Super built-up  Area,Ready To Move,"Fuxing Township, Changhua County",7 BHK,4000,3,2,5850
Super built-up  Area,Ready To Move,"Xianxi Township, Changhua County",3 BHK,1828,2,,2860
Super built-up  Area,Ready To Move,"Hemei Township, Changhua County",2 BHK,890,1,1,910
Super built-up  Area,Ready To Move,"Shengang Township, Changhua County",3 BHK,1612,2,3,1215.24
Plot  Area,Ready To Move,"Shetou Township, Changhua County",6 Bedroom,1034,2,,4810
Super built-up  Area,19-Apr,"Yongjing Township, Changhua County",3 BHK,1710,2,2,2374.06
Super built-up  Area,Ready To Move,"Puxin Township, Changhua County",2 BHK,957,1,1,1508
Super built-up  Area,18-May,"Xihu Township, Changhua County",3 BHK,1250,1,3,1144
Super built-up  Area,Ready To Move,"Dacun Township, Changhua County",3 BHK,2795,2,,6110
Super built-up  Area,Ready To Move,"Puyan Township, Changhua County",2 BHK,1125,1,2,1300
Super built-up  Area,18-Jul,"Tianzhong Township, Changhua County",2 BHK,1020,1,1,795.6
Super built-up  Area,Ready To Move,"Beidou Township, Changhua County",2 BHK,1200,1,2,1300
Super built-up  Area,Ready To Move,"Tianwei Township, Changhua County",3 BHK,1735,2,3,3510
Super built-up  Area,Ready To Move,"Pitou Township, Changhua County",3 BHK,2050,2,1,3770
Plot  Area,Ready To Move,"Xizhou Township, Changhua County",4 Bedroom,3750,2,0,19760
Built-up  Area,Ready To Move,"Zhutang Township, Changhua County",3 BHK,1350,1,3,1248
Super built-up  Area,18-May,"Erlin Township, Changhua County",2 BHK,1063,1,1,832
Super built-up  Area,Ready To Move,"Dacheng Township, Changhua County",3 BHK,1904,2,1,3900
Built-up  Area,Ready To Move,"Fangyuan Township, Changhua County",4 Bedroom,4200,2,2,10920
Super built-up  Area,Ready To Move,"Ershui Township, Changhua County",3 BHK,2000,2,1,4550
Super built-up  Area,18-Dec,"Nantou City, Nantou County",2 BHK,1145 - 1340,1,0,1130.74
Super built-up  Area,Ready To Move,"Zhongliao Township, Nantou County",3 BHK,1425,1,2,1950
Super built-up  Area,Ready To Move,"Caotun Township, Nantou County",3 BHK,1500,1,1,1677
Built-up  Area,Ready To Move,"Guoxing Township, Nantou County",2 BHK,1060,1,1,1560
Built-up  Area,Ready To Move,"Puli Township, Nantou County",3 BHK,1470,1,2,1820
Super built-up  Area,Ready To Move,"Shimen Dist., New Taipei City",6 BHK,1300,2,0,2574
Super built-up  Area,Ready To Move,"Mingjian Township, Nantou County",1 BHK,450,1,1,286
Super built-up  Area,18-Apr,"Jiji Township, Nantou County",2 BHK,1152,1,1,1677
Super built-up  Area,Ready To Move,"Shuili Township, Nantou County",3 BHK,1350,1,1,1456
Super built-up  Area,Ready To Move,"Yuchi Township, Nantou County",3 BHK,1550,2,3,1690
Plot  Area,Ready To Move,"Xinyi Township, Nantou County",3 Bedroom,1500,2,2,2600
Plot  Area,Ready To Move,"Zhushan Township, Nantou County",5 Bedroom,600,2,2,2210
Plot  Area,Ready To Move,"Lugu Township, Nantou County",1 Bedroom,400,1,0,364
Super built-up  Area,Ready To Move,"East Dist., Chiayi City",1 BHK,705,1,2,1742
Built-up  Area,Ready To Move,"West Dist., Chiayi City",2 BHK,770,1,1,936
Super built-up  Area,Ready To Move,"Fanlu Township, Chiayi County",2 BHK,1242,1,3,1326
Super built-up  Area,Ready To Move,"Meishan Township, Chiayi County",3 BHK,1700,2,2,4030
Super built-up  Area,Ready To Move,"Zhuqi Township, Chiayi County",3 BHK,2144,2,2,3770
Super built-up  Area,21-Jun,"Alishan Township, Chiayi County",3 BHK,1704,2,2,2860
Super built-up  Area,Ready To Move,"Zhongpu Township, Chiayi County",2 BHK,1070,1,1,1352
Plot  Area,Ready To Move,"Dapu Township, Chiayi County",3 Bedroom,1846,2,2,7800
Super built-up  Area,Ready To Move,"Shuishang Township, Chiayi County",2 BHK,1340,1,2,1448.2
Built-up  Area,Ready To Move,"Lucao Township, Chiayi County",2 BHK,1025,1,1,1196
Super built-up  Area,Ready To Move,"Taibao City, Chiayi County",2 BHK,1015 - 1540,1,0,1476.8
Super built-up  Area,Ready To Move,"Puzi City, Chiayi County",2 BHK,1200,1,2,1352
Built-up  Area,18-Dec,"Dongshi Township, Chiayi County",4 Bedroom,2250,2,1,2860
Super built-up  Area,Ready To Move,"Liujiao Township, Chiayi County",3 BHK,1550,1,3,2080
Plot  Area,Ready To Move,"Xingang Township, Chiayi County",4 Bedroom,1200,2,,8450
Plot  Area,Ready To Move,"Minxiong Township, Chiayi County",7 Bedroom,1800,3,1,6500
Super built-up  Area,Ready To Move,"Dalin Township, Chiayi County",2 BHK,1200,1,2,1560
Super built-up  Area,Ready To Move,"Xikou Township, Chiayi County",2 BHK,1327,1,2,2548
Super built-up  Area,Ready To Move,"Yizhu Township, Chiayi County",2 BHK,1186,1,2,1508
Built-up  Area,Ready To Move,"Budai Township, Chiayi County",3 Bedroom,1783,2,1,2990
Super built-up  Area,Ready To Move,"Dounan Township, Yunlin County",3 BHK,1400,2,2,1456
Super built-up  Area,Ready To Move,"Dapi Township, Yunlin County",2 BHK,980,1,1,1248
Super built-up  Area,Ready To Move,"Huwei Township, Yunlin County",2 BHK,1285,1,2,2132
Super built-up  Area,Ready To Move,"Tuku Township, Yunlin County",3 BHK,912,1,1,1820
Built-up  Area,Ready To Move,"Baozhong Township, Yunlin County",2 BHK,1225,1,2,1237.6
Super built-up  Area,Ready To Move,"Dongshi Township, Yunlin County",2 BHK,1075,1,1,1378
Built-up  Area,Ready To Move,"Taixi Township, Yunlin County",3 BHK,1260,1,2,1404
Super built-up  Area,Ready To Move,"Lunbei Township, Yunlin County",3 BHK,1282,1,2,1266.2
Super built-up  Area,Ready To Move,"Mailiao Township, Yunlin County",3 BHK,1909,2,2,2288
Super built-up  Area,Ready To Move,"Douliu City, Yunlin County",2 BHK,1359,1,1,2262
Built-up  Area,Ready To Move,"Linnei Township, Yunlin County",2 BHK,1207,1,2,1131
Plot  Area,Ready To Move,"Gukeng Township, Yunlin County",4 Bedroom,1736,2,0,4940
Super built-up  Area,20-May,"Citong Township, Yunlin County",4 BHK,2850,2,1,11128
Super built-up  Area,Ready To Move,"Xiluo Township, Yunlin County",3 BHK,1595,2,2,1690
Built-up  Area,18-Jun,"Erlun Township, Yunlin County",3 BHK,1798,2,2,2314
Super built-up  Area,Ready To Move,"Beigang Township, Yunlin County",3 BHK,1475,2,2,2035.54
Super built-up  Area,Ready To Move,"Shuilin Township, Yunlin County",3 BHK,1580,2,3,2600
Super built-up  Area,Ready To Move,"Kouhu Township, Yunlin County",2 BHK,1295,1,1,1690
Built-up  Area,Ready To Move,"Sihu Township, Yunlin County",6 Bedroom,3600,2,0,3666
Super built-up  Area,Ready To Move,"Yuanchang Township, Yunlin County",1 BHK,589,1,1,702
Super built-up  Area,Ready To Move,"West Central Dist., Tainan City",3 BHK,1415,2,3,2028
Super built-up  Area,18-Dec,"East Dist., Tainan City",3 BHK,1787,2,2,2555.54
Super built-up  Area,Ready To Move,"South Dist., Tainan City",3 BHK,1787,2,2,3250
Super built-up  Area,Ready To Move,"North Dist., Tainan City",3 BHK,1475,1,3,2340
Built-up  Area,Ready To Move,"Anping Dist., Tainan City",4 BHK,2000,2,1,1963
Super built-up  Area,19-Mar,"Annan Dist., Tainan City",2 BHK,984,1,1,1151.28
Super built-up  Area,19-Dec,"Yongkang Dist., Tainan City",3 BHK,1520 - 1740,,,1945.32
Super built-up  Area,Ready To Move,"Guiren Dist., Tainan City",3 BHK,2405,2,2,6760
Built-up  Area,Ready To Move,"Xinhua Dist., Tainan City",2 BHK,1080,1,2,1872
Plot  Area,Ready To Move,"Zuozhen Dist., Tainan City",2 Bedroom,1500,1,1,2990
Super built-up  Area,Ready To Move,"Yujing Dist., Tainan City",3 BHK,1900,2,2,3094
Super built-up  Area,19-Aug,"Nanxi Dist., Tainan City",2 BHK,805,1,1,575.64
Super built-up  Area,Ready To Move,"Nanhua Dist., Tainan City",2 BHK,1153,1,2,1466.4
Super built-up  Area,Ready To Move,"Rende Dist., Tainan City",2 BHK,1148,1,2,1560
Super built-up  Area,Ready To Move,"Guanmiao Dist., Tainan City",2 BHK,1110,1,2,1430
Built-up  Area,Ready To Move,"Longqi Dist., Tainan City",2 BHK,1100,1,2,1092
Super built-up  Area,Ready To Move,"Guantian Dist., Tainan City",2 BHK,1290,1,2,2860
Super built-up  Area,Ready To Move,"Madou Dist., Tainan City",3 BHK,1500,1,1,1690
Super built-up  Area,18-Apr,"Jiali Dist., Tainan City",2 BHK,1080,1,2,1014
Super built-up  Area,21-Jun,"Xigang Dist., Tainan City",3 BHK,1933,2,1,3354
Built-up  Area,Ready To Move,"Qigu Dist., Tainan City",5 Bedroom,3500,2,2,3900
Built-up  Area,Ready To Move,"Jiangjun Dist., Tainan City",2 BHK,1060,1,2,1560
Super built-up  Area,18-Aug,"Xuejia Dist., Tainan City",1 BHK,645,1,1,427.7
Plot  Area,Ready To Move,"Beimen Dist., Tainan City",8 Bedroom,2600,3,2,4680
Super built-up  Area,18-Sep,"Xinying Dist., Tainan City",1 BHK,645,1,1,427.7
Super built-up  Area,Ready To Move,"Houbi Dist., Tainan City",3 BHK,1644,2,3,2184
Super built-up  Area,Ready To Move,"Baihe Dist., Tainan City",2 BHK,1285,1,3,1885
Plot  Area,Ready To Move,"Dongshan Dist., Tainan City",3 Bedroom,1200,2,1,2340
Super built-up  Area,Ready To Move,"Liujia Dist., Tainan City",2 BHK,910,1,1,1040
Super built-up  Area,Ready To Move,"Xiaying Dist., Tainan City",3 BHK,1577,2,1,1820
Plot  Area,17-May,"Liuying Dist., Tainan City",3 Bedroom,4050,2,2,7280
Super built-up  Area,Ready To Move,"Yanshui Dist., Tainan City",3 BHK,2420,2,2,4810
Super built-up  Area,Ready To Move,"Shanhua Dist., Tainan City",2 BHK,800,1,1,520
Built-up  Area,Ready To Move,"Danei Dist., Tainan City",2 BHK,1060,1,2,1430
Super built-up  Area,Ready To Move,"Shanshang Dist., Tainan City",2 BHK,1270,1,2,2418
Super built-up  Area,18-Jun,"Xinshi Dist., Tainan City",2 BHK,900,1,2,585
Built-up  Area,Ready To Move,"Anding Dist., Tainan City",2 Bedroom,1280,1,1,1794
Plot  Area,Ready To Move,"Xinxing Dist., Kaohsiung City",4 Bedroom,1200,1,0,2470
Built-up  Area,Ready To Move,"Qianjin Dist., Kaohsiung City",2 BHK,1025,1,2,936
Super built-up  Area,17-Jun,"Lingya Dist., Kaohsiung City",2 BHK,1108,1,1,1638
Plot  Area,Ready To Move,"Yancheng Dist., Kaohsiung City",5 Bedroom,1200,2,,4420
Super built-up  Area,Ready To Move,"Gushan Dist., Kaohsiung City",3 BHK,3045,2,2,4420
Plot  Area,Ready To Move,"Qijin Dist., Kaohsiung City",4 Bedroom,2900,2,2,7800
Super built-up  Area,Ready To Move,"Qianzhen Dist., Kaohsiung City",3 BHK,1500,2,2,1963
Super built-up  Area,Ready To Move,"Sanmin Dist., Kaohsiung City",2 BHK,1295,1,2,1141.4
Super built-up  Area,Ready To Move,"Nanzi Dist., Kaohsiung City",2 BHK,1162,1,1,1557.4
Super built-up  Area,Ready To Move,"Xiaogang Dist., Kaohsiung City",2 BHK,1035,1,2,1279.2
Built-up  Area,Ready To Move,"Zuoying Dist., Kaohsiung City",4 Bedroom,1600,2,0,1372.8
Super built-up  Area,Ready To Move,"Renwu Dist., Kaohsiung City",3 BHK,1464,2,2,1196
Super built-up  Area,18-Oct,"Dashe Dist., Kaohsiung City",3 BHK,1866,1,2,1601.08
Super built-up  Area,Ready To Move,"Dongsha Islands, Nanhai Islands",2 BHK,700,1,1,676
Super built-up  Area,Ready To Move,"Nansha Islands, Nanhai Islands",3 BHK,1804,2,2,3120
Super built-up  Area,Ready To Move,"Gangshan Dist., Kaohsiung City",2 BHK,913,1,1,832
Super built-up  Area,21-Dec,"Luzhu Dist., Kaohsiung City",3 BHK,1868,2,2,3406
Built-up  Area,Ready To Move,"Alian Dist., Kaohsiung City",2 BHK,883,1,1,1170
Plot  Area,Ready To Move,"Tianliao Dist., Kaohsiung City",2 Bedroom,900,1,1,2860
Super built-up  Area,Ready To Move,"Yanchao Dist., Kaohsiung City",3 BHK,1664,1,3,1922.7
Super built-up  Area,Ready To Move,"Qiaotou Dist., Kaohsiung City",3 BHK,2026,2,2,3432
Super built-up  Area,Ready To Move,"Ziguan Dist., Kaohsiung City",2 BHK,1210,1,1,2103.4
Plot  Area,Ready To Move,"Mituo Dist., Kaohsiung City",4 Bedroom,4111,2,2,6500
Super built-up  Area,Ready To Move,"Yuanshan Township, Yilan County",3 BHK,1762,2,3,2377.7
Super built-up  Area,Ready To Move,"Hunei Dist., Kaohsiung City",3 BHK,1252,2,3,1430
Built-up  Area,Ready To Move,"Fengshan Dist., Kaohsiung City",2 BHK,861,1,1,897
Built-up  Area,Ready To Move,"Daliao Dist., Kaohsiung City",3 BHK,1420,1,1,2600
Plot  Area,Ready To Move,"Linyuan Dist., Kaohsiung City",6 Bedroom,1450,2,0,6500
Built-up  Area,Ready To Move,"Niaosong Dist., Kaohsiung City",3 BHK,1490,2,1,2048.8
Super built-up  Area,Ready To Move,"Dashu Dist., Kaohsiung City",3 BHK,1075,1,1,1196
Super built-up  Area,18-Aug,"Qishan Dist., Kaohsiung City",3 BHK,1425,1,2,2444
Built-up  Area,Ready To Move,"Meinong Dist., Kaohsiung City",2 BHK,1200,1,1,1040
Super built-up  Area,Ready To Move,"Liugui Dist., Kaohsiung City",3 BHK,1280,1,2,1456
Super built-up  Area,Ready To Move,"Neimen Dist., Kaohsiung City",2 BHK,1084,1,2,1300
Super built-up  Area,18-Jul,"Shanlin Dist., Kaohsiung City",2 BHK,1015,1,2,672.88
Super built-up  Area,21-May,"Jiaxian Dist., Kaohsiung City",2 BHK,1017,1,1,1332.5
